text : 39健康网首页	link : http://www.39.net/
text : 老年急性阑尾炎	link : http://jbk.39.net/lnjxlwy/
text : 更多疾病>>	link : /bw/lanwei/
text : 胰腺	link : /bw/yixian/
text : 胰腺炎	link : http://jbk.39.net/yxy/
text : 急性胰腺炎	link : http://jbk.39.net/jxyxy/
text : 胰腺癌	link : http://jbk.39.net/yxa/
text : 慢性胰腺炎	link : http://jbk.39.net/mxyxy/
text : 糖尿病和高血压	link : http://jbk.39.net/tnbhgxy/
text : 老年人糖尿病	link : http://jbk.39.net/lnrtnb/
text : 更多疾病>>	link : /bw/yixian/
text : 脾	link : /bw/pi/
text : 脾虚泄泻	link : http://jbk.39.net/pxxx/
text : 脾功能亢进	link : http://jbk.39.net/pgnkj/
text : 脾囊肿	link : http://jbk.39.net/pnz1/
text : 脾破裂	link : http://jbk.39.net/ppl/
text : 脾-肝综合征	link : http://jbk.39.net/pgzhz/
text : 脾约	link : http://jbk.39.net/py/
text : 更多疾病>>	link : /bw/pi/
text : 胆	link : /bw/dan/
text : 胆囊息肉	link : http://jbk.39.net/dnxr/
text : 慢性胆囊炎	link : http://jbk.39.net/mxdny/
text : 胆囊炎	link : http://jbk.39.net/dny/
text : 胆囊结石	link : http://jbk.39.net/dnjs/
text : 急性胆囊炎	link : http://jbk.39.net/jxdny/
text : 胆管癌	link : http://jbk.39.net/dga/
text : 更多疾病>>	link : /bw/dan/
text : 腹膜	link : /bw/fumo/
text : 腹膜炎	link : http://jbk.39.net/fmy/
text : 结核性腹膜炎	link : http://jbk.39.net/jhxfmy/
text : 腹膜后肿瘤	link : http://jbk.39.net/fmhzl/
text : 腹膜间皮瘤	link : http://jbk.39.net/fmjpl/
text : 急性腹膜炎	link : http://jbk.39.net/jxfmy/
text : 腹膜肿瘤	link : http://jbk.39.net/fmzl/
text : 更多疾病>>	link : /bw/fumo/
text : 肠系膜	link : /bw/chagnximo/
text : 肠系膜淋巴结炎	link : http://jbk.39.net/cxmlbjy/
text : 急性肠系膜淋巴结炎	link : http://jbk.39.net/jxcxmlbjy/
text : 小儿急性肠系膜淋巴结炎	link : http://jbk.39.net/xejxcxmlbjy/
text : 肠系膜肿瘤	link : http://jbk.39.net/cxmzl/
text : 网膜炎	link : http://jbk.39.net/wmy/
text : 肠系膜上动脉栓塞	link : http://jbk.39.net/cxmsdmss/
text : 更多疾病>>	link : /bw/chagnximo/
text : 检查	link : /bw/fubu_t3/
text : 腹部CT	link : http://jbk.39.net/jiancha/fbct/
text : 上消化道功能测定和显像	link : http://jbk.39.net/jiancha/sxhdgncdhxx/
text : 内镜检查	link : http://jbk.39.net/jiancha/njjc/
text : 腹部B超	link : http://jbk.39.net/jiancha/fbcsjc/
text : 压痛及反跳痛	link : http://jbk.39.net/jiancha/ytjftt/
text : 上消化道X线钡餐	link : http://jbk.39.net/jiancha/sxhdxxbc/
text : 腹部静脉检查	link : http://jbk.39.net/jiancha/fbjmjc/
text : 腹部包块	link : http://jbk.39.net/jiancha/fbbk/
text : 腹部透视	link : http://jbk.39.net/jiancha/fbts/
text : 腹部MRI	link : http://jbk.39.net/jiancha/fbmrijc/
text : 更多检查>>	link : /bw/fubu_t3/
text : 手术	link : /bw/fubu_t4/
text : 子宫下段剖宫产术	link : http://jbk.39.net/shoushu/zgxdpgcs/
text : 脑室-腹腔分流术	link : http://jbk.39.net/shoushu/nsfqfls/
text : 外阴癌根治术	link : http://jbk.39.net/shoushu/wyagzs/
text : 无张力疝修补术	link : http://jbk.39.net/shoushu/wzlsxbs/
text : 剖宫取胎术	link : http://jbk.39.net/shoushu/pgqts/
text : 腹腔镜疝气修补术	link : http://jbk.39.net/shoushu/fqjsqxbs/
text : 疝囊成形及高位结扎术	link : http://jbk.39.net/shoushu/sncxhgwjz/
text : 腹腔镜下子宫肌瘤切除术	link : http://jbk.39.net/shoushu/fqjxzgjlqcs/
text : 腹会阴直肠癌联合切除术	link : http://jbk.39.net/shoushu/fhyzcalhqcs/
text : 剖腹探查术	link : http://jbk.39.net/shoushu/pftcs/
text : 更多手术>>	link : /bw/fubu_t4/
text : 肾	link : /bw/shen/
text : 肾结石	link : http://jbk.39.net/sjs1/
text : 尿毒症	link : http://jbk.39.net/ndz/
text : 慢性肾炎	link : http://jbk.39.net/mxsy/
text : 肾积水	link : http://jbk.39.net/sjs/
text : 肾囊肿	link : http://jbk.39.net/snz/
text : 肾病综合征	link : http://jbk.39.net/sbzhz/
text : 尿蛋白	link : http://jbk.39.net/zhengzhuang/ndb/
text : 更多疾病>>	link : /bw/shen/
text : 肾上腺	link : /bw/shenshangxian/
text : 嗜铬细胞瘤	link : http://jbk.39.net/sgxbl/
text : 库欣综合征	link : http://jbk.39.net/kxzhz/
text : 原发性醛固酮增多症	link : http://jbk.39.net/yfxqgtzdz/
text : 先天性肾上腺皮质增生症	link : http://jbk.39.net/xtxssxpzzsz/
text : 肾上腺皮质功能减退症	link : http://jbk.39.net/ssxpzgnjtz/
text : 肾上腺危象	link : http://jbk.39.net/ssxwx/
text : 更多疾病>>	link : /bw/shenshangxian/
text : 输尿管	link : /bw/shuniaoguan/
text : 输尿管肿瘤	link : http://jbk.39.net/sngzl/
text : 输尿管炎	link : http://jbk.39.net/sngy/
text : 膀胱输尿管反流	link : http://jbk.39.net/bgsngfl/
text : 输尿管损伤	link : http://jbk.39.net/sngss/
text : 梗阻性尿路疾病	link : http://jbk.39.net/gzxnljb/
text : 纤维化综合征	link : http://jbk.39.net/xwhzhz/
text : 更多疾病>>	link : /bw/shuniaoguan/
text : 检查	link : /bw/yaobu_t3/
text : 腰背部检查	link : http://jbk.39.net/jiancha/ybbjc/
text : 腰臀围比例	link : http://jbk.39.net/jiancha/ytwbl/
text : 腹部平片	link : http://jbk.39.net/jiancha/fbpp/
text : 拾物试验	link : http://jbk.39.net/jiancha/swsy/
text : 托马斯试验	link : http://jbk.39.net/jiancha/tmssy/
text : 腰部活动度	link : http://jbk.39.net/jiancha/ybhdd/
text : 仰卧挺腹试验	link : http://jbk.39.net/jiancha/ywtfsy/
text : 鞠躬试验	link : http://jbk.39.net/jiancha/jgsy/
text : 床边试验	link : http://jbk.39.net/jiancha/cbsy/
text : 陆温试验	link : http://jbk.39.net/jiancha/lwsy/
text : 更多检查>>	link : /bw/yaobu_t3/
text : 手术	link : /bw/yaobu_t4/
text : 腰椎间盘突出切除术	link : http://jbk.39.net/shoushu/yzjptcqcs/
text : 腰交感神经切除术	link : http://jbk.39.net/shoushu/yjgsjqcs/
text : 溶脂针	link : http://jbk.39.net/shoushu/rzz/
text : 腰椎管、根管扩大减压术	link : http://jbk.39.net/shoushu/yzgggkdjys/
text : 注射溶脂针	link : http://jbk.39.net/shoushu/zsrzz/
text : 更多手术>>	link : /bw/yaobu_t4/
text : 前列腺	link : /bw/qianliexian/
text : 前列腺增生	link : http://jbk.39.net/qlxzs/
text : 前列腺癌	link : http://jbk.39.net/qlxa/
text : 慢性细菌性前列腺炎	link : http://jbk.39.net/mxxjxqlxy/
text : 非细菌性前列腺炎	link : http://jbk.39.net/fxjxqlxy/
text : 良性前列腺增生	link : http://jbk.39.net/lxqlxzs/
text : 前列腺结石	link : http://jbk.39.net/qlxjs/
text : 更多疾病>>	link : /bw/qianliexian/
text : 睾丸	link : /bw/gaowan/
text : 精索静脉曲张	link : http://jbk.39.net/jsjmqz/
text : 附睾炎	link : http://jbk.39.net/fgy/
text : 睾丸炎	link : http://jbk.39.net/gwy1/
text : 睾丸扭转	link : http://jbk.39.net/gwnz/
text : 睾丸癌	link : http://jbk.39.net/gwa/
text : 隐睾	link : http://jbk.39.net/yg1/
text : 睾丸有肿块	link : http://jbk.39.net/zhengzhuang/gwyzk/
text : 睾丸一大一小	link : http://jbk.39.net/zhengzhuang/gwydyx/
text : 睾丸下垂	link : http://jbk.39.net/zhengzhuang/gwxc/
text : 更多疾病>>	link : /bw/gaowan/
text : 阴茎	link : /bw/yinjing/
text : 阳痿	link : http://jbk.39.net/yw/
text : 尿路感染	link : http://jbk.39.net/nlgr/
text : 包皮龟头炎	link : http://jbk.39.net/bpgty/
text : 包皮过长	link : http://jbk.39.net/bpgz/
text : 龟头炎	link : http://jbk.39.net/gty/
text : 阴茎异常勃起	link : http://jbk.39.net/yjycbq/
text : 包皮水肿	link : http://jbk.39.net/zhengzhuang/bpsz/
text : 阴茎弯曲	link : http://jbk.39.net/zhengzhuang/yjwq/
text : 精液里有胶状物	link : http://jbk.39.net/zhengzhuang/jylyjzw/
text : 精液里有血丝	link : http://jbk.39.net/zhengzhuang/jylyxs/
text : 更多疾病>>	link : /bw/yinjing/
text : 输精管	link : /bw/shujingguan/
text : 输精管堵塞	link : http://jbk.39.net/sjgds/
text : 输精管缺如	link : http://jbk.39.net/sjgqr/
text : 更多疾病>>	link : /bw/shujingguan/
text : 阴囊	link : /bw/yinnang/
text : 阴囊湿疹	link : http://jbk.39.net/ynsz/
text : 鞘膜积液	link : http://jbk.39.net/qmjy/
text : 阴囊炎	link : http://jbk.39.net/yny/
text : 阴囊癌	link : http://jbk.39.net/yna/
text : 阴囊炎性癌	link : http://jbk.39.net/ynyxa/
text : 气疝	link : http://jbk.39.net/qs1/
text : 阴囊潮湿	link : http://jbk.39.net/zhengzhuang/yncs/
text : 更多疾病>>	link : /bw/yinnang/
text : 检查	link : /bw/nanxingshengzhi_t3/
text : 精液检查	link : http://jbk.39.net/jiancha/jyjc/
text : 阴茎超声检查	link : http://jbk.39.net/jiancha/yjcsjc/
text : 单纯疱疹病毒	link : http://jbk.39.net/jiancha/dcpzbdhsv/
text : 精液量	link : http://jbk.39.net/jiancha/jyl/
text : 不孕不育检查	link : http://jbk.39.net/jiancha/bybyjc/
text : 精液气味	link : http://jbk.39.net/jiancha/jyqw/
text : 生殖器疱疹检测	link : http://jbk.39.net/jiancha/szqpzjc/
text : 不加热血清反应素实验	link : http://jbk.39.net/jiancha/bjrxqfyssy/
text : 醋酸白试验	link : http://jbk.39.net/jiancha/csbsy/
text : 精子受精能力	link : http://jbk.39.net/jiancha/jzsjnlcd/
text : 更多检查>>	link : /bw/nanxingshengzhi_t3/
text : 手术	link : /bw/nanxingshengzhi_t4/
text : 输精管结扎术	link : http://jbk.39.net/shoushu/sjgjzs/
text : 包皮手术	link : http://jbk.39.net/shoushu/bpss/
text : 人工授精	link : http://jbk.39.net/shoushu/rgsj/
text : 人工受精	link : http://jbk.39.net/shoushu/rgsj/
text : 输卵管结扎术	link : http://jbk.39.net/shoushu/nxjzss/
text : 变性手术	link : http://jbk.39.net/shoushu/bxss/
text : 球部尿道损伤修复术	link : http://jbk.39.net/shoushu/qbndssxfs/
text : 更多手术>>	link : /bw/nanxingshengzhi_t4/
text : 卵巢	link : /bw/luanchao/
text : 卵巢囊肿	link : http://jbk.39.net/lcnz/
text : 附件炎	link : http://jbk.39.net/fjy/
text : 多囊卵巢综合征	link : http://jbk.39.net/dnlczhz/
text : 卵巢早衰	link : http://jbk.39.net/lczs/
text : 卵巢癌	link : http://jbk.39.net/lca/
text : 绝经	link : http://jbk.39.net/jj/
text : 更多疾病>>	link : /bw/luanchao/
text : 子宫	link : /bw/zigong/
text : 痛经	link : http://jbk.39.net/tj/
text : 宫颈癌	link : http://jbk.39.net/gja/
text : 子宫内膜异位症	link : http://jbk.39.net/zgnmywz/
text : 子宫内膜癌	link : http://jbk.39.net/zgnma/
text : 慢性宫颈炎	link : http://jbk.39.net/mxgjy/
text : 宫颈息肉	link : http://jbk.39.net/gjxr/
text : 稽留流产	link : http://jbk.39.net/zhengzhuang/jllc/
text : 宫颈癌前病变	link : http://jbk.39.net/zhengzhuang/gjaqbb/
text : 更多疾病>>	link : /bw/zigong/
text : 输卵管	link : /bw/shuluanguan/
text : 宫外孕	link : http://jbk.39.net/gwy/
text : 输卵管积水	link : http://jbk.39.net/slgjs/
text : 输卵管性不孕	link : http://jbk.39.net/slgxby/
text : 无排卵性不孕症	link : http://jbk.39.net/wplxbyz/
text : 输卵管炎	link : http://jbk.39.net/slgy/
text : 输卵管妊娠	link : http://jbk.39.net/slgrs/
text : 更多疾病>>	link : /bw/shuluanguan/
text : 阴道	link : /bw/yindao/
text : 细菌性阴道炎	link : http://jbk.39.net/xjxydy/
text : 滴虫性阴道炎	link : http://jbk.39.net/dcxydy/
text : 阴道炎	link : http://jbk.39.net/ydy/
text : 老年性阴道炎	link : http://jbk.39.net/lnxydy/
text : 处女膜闭锁	link : http://jbk.39.net/cnmbs/
text : 阴道白斑	link : http://jbk.39.net/ydbb/
text : 豆腐渣样白带	link : http://jbk.39.net/zhengzhuang/dfzybd/
text : 阴道松弛	link : http://jbk.39.net/zhengzhuang/ydsc/
text : 白带发黄	link : http://jbk.39.net/zhengzhuang/bdfh/
text : 白带有血丝	link : http://jbk.39.net/zhengzhuang/bdyxs/
text : 更多疾病>>	link : /bw/yindao/
text : 外阴	link : /bw/waiyin/
text : 外阴瘙痒	link : http://jbk.39.net/wysy/
text : 外阴炎	link : http://jbk.39.net/wyy/
text : 霉菌性外阴炎	link : http://jbk.39.net/mjxwyy/
text : 多毛状小阴唇	link : http://jbk.39.net/dmzxyc/
text : 外阴溃疡	link : http://jbk.39.net/wyky/
text : 软下疳	link : http://jbk.39.net/rxg/
text : 更多疾病>>	link : /bw/waiyin/
text : 检查	link : /bw/nvxingshengzhi_t3/
text : 阴道分泌物涂片	link : http://jbk.39.net/jiancha/ydfmwtpjc/
text : 盆腔和阴道B超	link : http://jbk.39.net/jiancha/pqhydbc/
text : 妇科B超	link : http://jbk.39.net/jiancha/fkcsjc/
text : 子宫疾病自检	link : http://jbk.39.net/jiancha/zgjbzj/
text : 雌激素	link : http://jbk.39.net/jiancha/cjs/
text : 单纯疱疹病毒	link : http://jbk.39.net/jiancha/dcpzbdhsv/
text : 不孕不育检查	link : http://jbk.39.net/jiancha/bybyjc/
text : 妇科炎症检查	link : http://jbk.39.net/jiancha/fkyzjc/
text : 血清孕激素	link : http://jbk.39.net/jiancha/yjs/
text : 子宫及附件检查	link : http://jbk.39.net/jiancha/zgjfjjc/
text : 更多检查>>	link : /bw/nvxingshengzhi_t3/
text : 手术	link : /bw/nvxingshengzhi_t4/
text : 子宫及双附件切除术	link : http://jbk.39.net/shoushu/zgjsfjqcs/
text : 无痛分娩	link : http://jbk.39.net/shoushu/wtfm/
text : 药物流产	link : http://jbk.39.net/shoushu/ywlc/
text : 人工授精	link : http://jbk.39.net/shoushu/rgsj/
text : leep刀	link : http://jbk.39.net/shoushu/leepd/
text : 人工受精	link : http://jbk.39.net/shoushu/rgsj/
text : 自然分娩	link : http://jbk.39.net/shoushu/zrfm/
text : 输卵管结扎术	link : http://jbk.39.net/shoushu/nxjzss/
text : 宫腔镜取胚术	link : http://jbk.39.net/shoushu/gqjqbs/
text : 妇科整形手术	link : http://jbk.39.net/shoushu/fkzxss/
text : 更多手术>>	link : /bw/nvxingshengzhi_t4/
text : 皮肤	link : /bw/pifu/
text : 荨麻疹	link : http://jbk.39.net/xmz/
text : 皮肤过敏	link : http://jbk.39.net/pfgm/
text : 水痘	link : http://jbk.39.net/sd/
text : 粉刺	link : http://jbk.39.net/cc/
text : 银屑病	link : http://jbk.39.net/yxb/
text : 扁平疣	link : http://jbk.39.net/bpy/
text : 瘙痒	link : http://jbk.39.net/zhengzhuang/sy/
text : 疱疹	link : http://jbk.39.net/zhengzhuang/pz/
text : 婴儿湿疹	link : http://jbk.39.net/zhengzhuang/yesz/
text : 皮肤瘙痒	link : http://jbk.39.net/zhengzhuang/pfsy/
text : 更多疾病>>	link : /bw/pifu/
text : 淋巴	link : /bw/linba/
text : 淋巴癌	link : http://jbk.39.net/lba/
text : 淋巴瘤	link : http://jbk.39.net/lbl/
text : 慢性淋巴结炎	link : http://jbk.39.net/mxlbjy/
text : 恶性淋巴瘤	link : http://jbk.39.net/exlbl/
text : 急性淋巴结炎	link : http://jbk.39.net/jxlbjy/
text : 淋巴管炎	link : http://jbk.39.net/lbgy/
text : 腹股沟淋巴结肿大	link : http://jbk.39.net/zhengzhuang/fgglbjzd/
text : 颌下淋巴结肿大压痛	link : http://jbk.39.net/zhengzhuang/hxlbjzdyt/
text : 浅表淋巴结肿大	link : http://jbk.39.net/zhengzhuang/qblbjzd/
text : 腋下淋巴肿大	link : http://jbk.39.net/zhengzhuang/yxlbzd/
text : 更多疾病>>	link : /bw/linba/
text : 血液血管	link : /bw/xueyexueguan/
text : 低血压	link : http://jbk.39.net/dxy/
text : 白血病	link : http://jbk.39.net/bxb/
text : 低血糖	link : http://jbk.39.net/dxt/
text : 动脉硬化	link : http://jbk.39.net/dmyh/
text : 中暑	link : http://jbk.39.net/zs/
text : 败血症	link : http://jbk.39.net/bxz/
text : 血压高	link : http://jbk.39.net/zhengzhuang/xyg/
text : 静脉曲张	link : http://jbk.39.net/zhengzhuang/jmqz/
text : 血小板减少	link : http://jbk.39.net/zhengzhuang/xxbjs/
text : 白细胞减少	link : http://jbk.39.net/zhengzhuang/bxbjs/
text : 更多疾病>>	link : /bw/xueyexueguan/
text : 免疫系统	link : /bw/mianyixitong/
text : 重症肌无力	link : http://jbk.39.net/zzjwl/
text : 干燥综合征	link : http://jbk.39.net/gzzhz/
text : 系统性红斑狼疮	link : http://jbk.39.net/xtxhblc/
text : 盘状红斑狼疮	link : http://jbk.39.net/pzhblc/
text : 梅毒合并HIV感染	link : http://jbk.39.net/mdhbhivgr/
text : 自身免疫性疾病	link : http://jbk.39.net/zsmyxjb/
text : 更多疾病>>	link : /bw/mianyixitong/
text : 肌肉	link : /bw/jirou/
text : 破伤风	link : http://jbk.39.net/psf/
text : 风湿性多肌痛	link : http://jbk.39.net/fsxdjt/
text : 多发性肌炎	link : http://jbk.39.net/dfxjy/
text : 进行性肌营养不良症	link : http://jbk.39.net/jhxjyyblz/
text : 周期性麻痹	link : http://jbk.39.net/zqxmb/
text : 肌营养不良症	link : http://jbk.39.net/jyyblz/
text : 肌肉酸痛	link : http://jbk.39.net/zhengzhuang/jrst/
text : 肌肉萎缩	link : http://jbk.39.net/zhengzhuang/jrws/
text : 肌肉拉伤	link : http://jbk.39.net/zhengzhuang/jrls/
text : 肌肉跳动	link : http://jbk.39.net/zhengzhuang/jrtd/
text : 更多疾病>>	link : /bw/jirou/
text : 周围神经	link : /bw/zhouweishenjingxitong/
text : 坐骨神经痛	link : http://jbk.39.net/zgsjt/
text : 植物神经紊乱	link : http://jbk.39.net/zwsjgnwl/
text : 肋间神经痛	link : http://jbk.39.net/ljsjt/
text : 神经炎	link : http://jbk.39.net/sjy/
text : 不安腿综合征	link : http://jbk.39.net/batzhz/
text : 神经纤维瘤	link : http://jbk.39.net/sjxwl/
text : 更多疾病>>	link : /bw/zhouweishenjingxitong/
text : 检查	link : /bw/quanshen_t3/
text : BMI指数	link : http://jbk.39.net/jiancha/tzzs/
text : 基础代谢	link : http://jbk.39.net/jiancha/jcdx/
text : 健康体检	link : http://jbk.39.net/jiancha/cgtj/
text : 血清谷草转氨酶	link : http://jbk.39.net/jiancha/mdasajzymast/
text : 皮肤试验	link : http://jbk.39.net/jiancha/pfsy/
text : MRI	link : http://jbk.39.net/jiancha/hcgzcxmri/
text : 血清载脂蛋白A-Ⅰ	link : http://jbk.39.net/jiancha/zzdba1apoa1/
text : 免疫病理检查	link : http://jbk.39.net/jiancha/mybljc/
text : 过敏原检测	link : http://jbk.39.net/jiancha/gmysx/
text : 染色体	link : http://jbk.39.net/jiancha/rst/
text : 更多检查>>	link : /bw/quanshen_t3/
text : 手术	link : /bw/quanshen_t4/
text : 脂肪瘤切除术	link : http://jbk.39.net/shoushu/zflqcs/
text : 冷冻手术	link : http://jbk.39.net/shoushu/ldss/
text : 清创术	link : http://jbk.39.net/shoushu/qcs/
text : 激素局部封闭疗法	link : http://jbk.39.net/shoushu/jsjbfblf/
text : 皮下瘘管切开术或切除术	link : http://jbk.39.net/shoushu/pxlgqkshqcs/
text : 开放引流术	link : http://jbk.39.net/shoushu/kfylf/
text : 恶性肿物切除术	link : http://jbk.39.net/shoushu/exzwqcs/
text : 皮片移植术	link : http://jbk.39.net/shoushu/ppyzs/
text : 脾切除术	link : http://jbk.39.net/shoushu/pzqcs/
text : 区域筋膜切除术	link : http://jbk.39.net/shoushu/qyjmqcs/
text : 更多手术>>	link : /bw/quanshen_t4/
text : 肩部	link : /bw/jianbu/
text : 肩周炎	link : http://jbk.39.net/jzy/
text : 肩袖损伤	link : http://jbk.39.net/jxss/
text : 肩胛背神经卡压症	link : http://jbk.39.net/jjbsjkyz/
text : 肩-手综合征	link : http://jbk.39.net/jszhz/
text : 背部弹力纤维瘤	link : http://jbk.39.net/bbdlxwl/
text : 肩峰下滑囊炎	link : http://jbk.39.net/jfxhny/
text : 肩痛	link : http://jbk.39.net/zhengzhuang/jt/
text : 肩关节痛	link : http://jbk.39.net/zhengzhuang/jgjt/
text : 肩关节活动受限	link : http://jbk.39.net/zhengzhuang/jgjhdsx/
text : 冻结肩	link : http://jbk.39.net/zhengzhuang/djj/
text : 更多疾病>>	link : /bw/jianbu/
text : 上臂	link : /bw/shangbi/
text : 臂丛神经损伤	link : http://jbk.39.net/bcsjss/
text : 肱骨内上髁炎	link : http://jbk.39.net/ggnsky/
text : 肱骨外科颈骨折	link : http://jbk.39.net/ggwkjgz/
text : 肱骨大结节骨折	link : http://jbk.39.net/ggdjjgz/
text : 肱骨头骨折	link : http://jbk.39.net/ggtgz/
text : 肱动脉损伤	link : http://jbk.39.net/gdmss/
text : 胳膊上有小疙瘩	link : http://jbk.39.net/zhengzhuang/gbsyxgd/
text : 更多疾病>>	link : /bw/shangbi/
text : 肘部	link : /bw/zhoubu/
text : 网球肘	link : http://jbk.39.net/wqz/
text : 肘管综合征	link : http://jbk.39.net/zgzhz/
text : 创伤性肘关节炎	link : http://jbk.39.net/csxzgjy/
text : 肘外翻	link : http://jbk.39.net/zwf/
text : 肘关节骨化肌炎	link : http://jbk.39.net/zgjghjy/
text : 肘关节强直	link : http://jbk.39.net/zgjqz/
text : 更多疾病>>	link : /bw/zhoubu/
text : 前臂	link : /bw/qianbi/
text : 桡骨骨折	link : http://jbk.39.net/rggz/
text : 桡骨茎突部狭窄性腱鞘炎	link : http://jbk.39.net/rgjtbxzxjqy/
text : 孟氏骨折	link : http://jbk.39.net/msgz/
text : 桡神经麻痹	link : http://jbk.39.net/rsjmb/
text : 盖氏骨折	link : http://jbk.39.net/gsgz/
text : 巴顿骨折	link : http://jbk.39.net/bdgz/
text : 更多疾病>>	link : /bw/qianbi/
text : 手部	link : /bw/shoubu/
text : 灰指甲	link : http://jbk.39.net/hzj/
text : 甲沟炎	link : http://jbk.39.net/jgy/
text : 腱鞘炎	link : http://jbk.39.net/jqy/
text : 手足癣	link : http://jbk.39.net/szx/
text : 手指屈肌腱鞘炎	link : http://jbk.39.net/szqjjqy/
text : 特发性震颤	link : http://jbk.39.net/tfxzc/
text : 指甲异常	link : http://jbk.39.net/zhengzhuang/zjyc/
text : 肝掌	link : http://jbk.39.net/zhengzhuang/gz/
text : 手抽筋	link : http://jbk.39.net/zhengzhuang/scj/
text : 晨僵	link : http://jbk.39.net/zhengzhuang/cj1/
text : 更多疾病>>	link : /bw/shoubu/
text : 检查	link : /bw/shangzhi_t3/
text : 四肢的骨和关节平片	link : http://jbk.39.net/jiancha/szdghgjpp/
text : 四肢CT	link : http://jbk.39.net/jiancha/szctjc1/
text : 杜加斯征	link : http://jbk.39.net/jiancha/djsz/
text : 落臂试验	link : http://jbk.39.net/jiancha/lbsy/
text : 梳头试验	link : http://jbk.39.net/jiancha/stsy/
text : 肋锁挤压试验	link : http://jbk.39.net/jiancha/lsjysy/
text : 上肢动脉功能试验	link : http://jbk.39.net/jiancha/szdmgnsy/
text : 旋后肌肌力试验	link : http://jbk.39.net/jiancha/xhjjlsy/
text : 毕克征	link : http://jbk.39.net/jiancha/bkz/
text : 更多检查>>	link : /bw/shangzhi_t3/
text : 手术	link : /bw/shangzhi_t4/
text : 止血带止血术	link : http://jbk.39.net/shoushu/zxdzxf/
text : 肌腱缝合术	link : http://jbk.39.net/shoushu/jjfhs/
text : 腱鞘囊肿切除术	link : http://jbk.39.net/shoushu/jqnzqcs/
text : 腋臭手术	link : http://jbk.39.net/shoushu/ycss/
text : 肩关节离断术	link : http://jbk.39.net/shoushu/jgjlds/
text : 上臂截肢术	link : http://jbk.39.net/shoushu/sbjzs/
text : 断肢（指）再植术	link : http://jbk.39.net/shoushu/dzzzzs/
text : 代前臂伸肌手术	link : http://jbk.39.net/shoushu/dqbsjss/
text : 韧带纤维瘤-前臂截肢术	link : http://jbk.39.net/shoushu/rdxwlqbjzs/
text : 开放性截肢术	link : http://jbk.39.net/shoushu/kfxjzs/
text : 更多手术>>	link : /bw/shangzhi_t4/
text : 大腿	link : /bw/datui/
text : 股骨头坏死	link : http://jbk.39.net/ggths/
text : 先天性髋关节脱位	link : http://jbk.39.net/xtxkgjtw/
text : 股骨头骨折	link : http://jbk.39.net/ggtgz1/
text : 股神经损伤	link : http://jbk.39.net/gsjss/
text : 髋臼骨折	link : http://jbk.39.net/kjgz/
text : 股神经卡压综合征	link : http://jbk.39.net/gsjkyzhz/
text : 大腿刺痛	link : http://jbk.39.net/zhengzhuang/dtct/
text : 腹股沟痒	link : http://jbk.39.net/zhengzhuang/fggy/
text : 股前外侧麻木、蚁行感	link : http://jbk.39.net/zhengzhuang/gqwcmmyhg/
text : 大腿局部肿胀变形	link : http://jbk.39.net/zhengzhuang/dtjbzzbx/
text : 更多疾病>>	link : /bw/datui/
text : 小腿	link : /bw/xiaotui/
text : 腓骨肌萎缩症	link : http://jbk.39.net/fgjwsz/
text : 胫腓骨骨折	link : http://jbk.39.net/jfggz/
text : 腓总神经损伤	link : http://jbk.39.net/fzsjss/
text : 胫骨平台骨折	link : http://jbk.39.net/jgptgz/
text : 小腿动脉损伤	link : http://jbk.39.net/xtdmss/
text : 胫骨骨折	link : http://jbk.39.net/jggz1/
text : 胫骨疼痛	link : http://jbk.39.net/zhengzhuang/jgtt/
text : 小腿发胀	link : http://jbk.39.net/zhengzhuang/xtfz/
text : 孕妇小腿浮肿	link : http://jbk.39.net/zhengzhuang/yfxtfz/
text : 小腿肚抽筋	link : http://jbk.39.net/zhengzhuang/xtdcj/
text : 更多疾病>>	link : /bw/xiaotui/
text : 膝部	link : /bw/xibu/
text : 半月板损伤	link : http://jbk.39.net/bybss/
text : 膝关节骨性关节炎	link : http://jbk.39.net/xgjgxgjy/
text : 膝关节半月板损伤	link : http://jbk.39.net/xgjbybss/
text : 髌骨软化症	link : http://jbk.39.net/bgrhz/
text : 髌骨骨折	link : http://jbk.39.net/bggz1/
text : 膝关节侧副韧带损伤	link : http://jbk.39.net/xgjcfrdss/
text : 膝关节积液	link : http://jbk.39.net/zhengzhuang/xgjjy/
text : 膝盖长骨刺	link : http://jbk.39.net/zhengzhuang/xgzgc/
text : 滑膜发炎	link : http://jbk.39.net/zhengzhuang/hmfy/
text : 髌骨疼痛	link : http://jbk.39.net/zhengzhuang/bgtt/
text : 更多疾病>>	link : /bw/xibu/
text : 足部	link : /bw/zubu/
text : 跖疣	link : http://jbk.39.net/zs10/
text : 糜烂型脚气	link : http://jbk.39.net/mlxjq/
text : 扁平足	link : http://jbk.39.net/bpz/
text : 脚气病	link : http://jbk.39.net/jqb/
text : 水疱型脚气	link : http://jbk.39.net/spxjq/
text : 跟腱炎	link : http://jbk.39.net/gjy1/
text : 足跟痛	link : http://jbk.39.net/zhengzhuang/zgt/
text : 第1跖趾关节疼痛和肿大	link : http://jbk.39.net/zhengzhuang/d1zzgjtthzd/
text : 足癣	link : http://jbk.39.net/zhengzhuang/zx/
text : 踝关节肿胀	link : http://jbk.39.net/zhengzhuang/hgjzz/
